Dec 11,$450,Technics 1200 Excellent Condition (Negotiable),electronics - by owner,newyork.craigslist.org/que/ele/4239659115.html,2013/12/11,1
Dec 11,$425,"Technics 1200's, Good Condition (Neg)",electronics - by owner,newyork.craigslist.org/que/ele/4240107394.html,2013/12/11,1
Dec  9,$1500,Technics 1200 M3D Turntables,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4236244383.html,2013/12/11,1
Dec  8,$120,awesome Technics 1200 headphones - new out of box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4234312314.html,2013/12/11,1
Dec  9,$925,Pair Black Technics 1200 1210 Mk2 Turntables w/ Ortofon Needles & Case,electronics - by owner,newyork.craigslist.org/que/ele/4236400695.html,2013/12/11,1
Dec  7,$325,Technics SL-1200MK5 and Shure Shure M44-7 Cartridge & Needle,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4233670696.html,2013/12/11,1
Dec  8,$950,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html,2013/12/11,1
Dec  5,$1200,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html,2013/12/11,1
Dec  8,$950,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html,2013/12/11,1
Dec 10,$500,Technic 1200 MK2 Turntable with gig case (1),electronics - by owner,newyork.craigslist.org/brk/ele/4237769578.html,2013/12/11,1
Dec 10,$20,Technics SL-1200 Pictch Slider New in Box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4219413403.html,2013/12/11,1
Dec  3,$1400,Technics SL-1200 M5G Turntables,electronics - by owner,newyork.craigslist.org/mnh/ele/4227509874.html,2013/12/11,1
Dec  5,$500,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4229726532.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4234047756.html,2013/12/11,1
Dec  8,$350,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html,2013/12/11,1
Dec  9,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4236005082.html,2013/12/11,1
Dec  9,$700,USED TECHNICS SL 1200 MK2 + Stanton Needle - $800,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html,2013/12/11,1
Dec 10,$400, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4238584572.html,2013/12/11,1
Dec 11,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,furniture - by owner,newyork.craigslist.org/mnh/fuo/4239381554.html,2013/12/11,1
Dec  7,$1200,Technic 1200's and DJ Equipment for sale- complete package,electronics - by owner,newyork.craigslist.org/brk/ele/4233069649.html,2013/12/11,1
Dec 11,$4250,Technics SL-1200 GOLD / Limited Collector Edition Turntables & Mixer ,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html,2013/12/11,1
Dec  8,$1450,"Technics SL-1200 MK2s w/ Mixer,Needles,&Midi Controller",electronics - by owner,newyork.craigslist.org/mnh/ele/4228895832.html,2013/12/11,1
Dec 10,$1000,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html,2013/12/11,1
Dec  8,$1050,2x Technics 1200 MK5 - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4229147114.html,2013/12/11,1
Dec  6,$425,Technics 1200 MK2 Turntable with Dust Cover (1),electronics - by owner,newyork.craigslist.org/mnh/ele/4231964746.html,2013/12/11,1
Dec  8,$499,TECHNICS 1200 MK3 $499 OBO,electronics - by owner,newyork.craigslist.org/brk/ele/4234194516.html,2013/12/11,1
Dec  9,$900,BEST DJ DEAL IN THE BRONX FOR TECHNICS 1200 TURNTABLES,electronics - by owner,newyork.craigslist.org/brx/ele/4235839722.html,2013/12/11,1
Dec  9,$700,Pair Technics 1200 MK2,electronics - by owner,newyork.craigslist.org/jsy/ele/4236695882.html,2013/12/11,1
Dec  9,$850,2x Technics 1200 MK2 - Used - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4236787129.html,2013/12/11,1
Dec 11,$450,Technics 1200 Excellent Condition (Negotiable),electronics - by owner,newyork.craigslist.org/que/ele/4239659115.html,2013/12/11,1
Dec 11,$425,"Technics 1200's, Good Condition (Neg)",electronics - by owner,newyork.craigslist.org/que/ele/4240107394.html,2013/12/11,1
Dec  9,$1500,Technics 1200 M3D Turntables,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4236244383.html,2013/12/11,1
Dec  8,$120,awesome Technics 1200 headphones - new out of box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4234312314.html,2013/12/11,1
Dec  9,$925,Pair Black Technics 1200 1210 Mk2 Turntables w/ Ortofon Needles & Case,electronics - by owner,newyork.craigslist.org/que/ele/4236400695.html,2013/12/11,1
Dec  7,$325,Technics SL-1200MK5 and Shure Shure M44-7 Cartridge & Needle,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4233670696.html,2013/12/11,1
Dec  8,$950,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html,2013/12/11,1
Dec  5,$1200,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html,2013/12/11,1
Dec  8,$950,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html,2013/12/11,1
Dec 10,$500,Technic 1200 MK2 Turntable with gig case (1),electronics - by owner,newyork.craigslist.org/brk/ele/4237769578.html,2013/12/11,1
Dec 10,$20,Technics SL-1200 Pictch Slider New in Box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4219413403.html,2013/12/11,1
Dec  3,$1400,Technics SL-1200 M5G Turntables,electronics - by owner,newyork.craigslist.org/mnh/ele/4227509874.html,2013/12/11,1
Dec  5,$500,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4229726532.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4234047756.html,2013/12/11,1
Dec  8,$350,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html,2013/12/11,1
Dec  9,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4236005082.html,2013/12/11,1
Dec  9,$700,USED TECHNICS SL 1200 MK2 + Stanton Needle - $800,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html,2013/12/11,1
Dec 10,$400, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4238584572.html,2013/12/11,1
Dec 11,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,furniture - by owner,newyork.craigslist.org/mnh/fuo/4239381554.html,2013/12/11,1
Dec  7,$1200,Technic 1200's and DJ Equipment for sale- complete package,electronics - by owner,newyork.craigslist.org/brk/ele/4233069649.html,2013/12/11,1
Dec 11,$4250,Technics SL-1200 GOLD / Limited Collector Edition Turntables & Mixer ,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html,2013/12/11,1
Dec  8,$1450,"Technics SL-1200 MK2s w/ Mixer,Needles,&Midi Controller",electronics - by owner,newyork.craigslist.org/mnh/ele/4228895832.html,2013/12/11,1
Dec 10,$1000,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html,2013/12/11,1
Dec  8,$1050,2x Technics 1200 MK5 - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4229147114.html,2013/12/11,1
Dec  6,$425,Technics 1200 MK2 Turntable with Dust Cover (1),electronics - by owner,newyork.craigslist.org/mnh/ele/4231964746.html,2013/12/11,1
Dec  8,$499,TECHNICS 1200 MK3 $499 OBO,electronics - by owner,newyork.craigslist.org/brk/ele/4234194516.html,2013/12/11,1
Dec  9,$900,BEST DJ DEAL IN THE BRONX FOR TECHNICS 1200 TURNTABLES,electronics - by owner,newyork.craigslist.org/brx/ele/4235839722.html,2013/12/11,1
Dec  9,$700,Pair Technics 1200 MK2,electronics - by owner,newyork.craigslist.org/jsy/ele/4236695882.html,2013/12/11,1
Dec  9,$850,2x Technics 1200 MK2 - Used - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4236787129.html,2013/12/11,1
Dec 11,$450,Technics 1200 Excellent Condition (Negotiable),electronics - by owner,newyork.craigslist.org/que/ele/4239659115.html,2013/12/11,1
Dec 11,$425,"Technics 1200's, Good Condition (Neg)",electronics - by owner,newyork.craigslist.org/que/ele/4240107394.html,2013/12/11,1
Dec  9,$1500,Technics 1200 M3D Turntables,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4236244383.html,2013/12/11,1
Dec  8,$120,awesome Technics 1200 headphones - new out of box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4234312314.html,2013/12/11,1
Dec  9,$925,Pair Black Technics 1200 1210 Mk2 Turntables w/ Ortofon Needles & Case,electronics - by owner,newyork.craigslist.org/que/ele/4236400695.html,2013/12/11,1
Dec  7,$325,Technics SL-1200MK5 and Shure Shure M44-7 Cartridge & Needle,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4233670696.html,2013/12/11,1
Dec  8,$950,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html,2013/12/11,1
Dec  5,$1200,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html,2013/12/11,1
Dec  8,$950,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html,2013/12/11,1
Dec 10,$500,Technic 1200 MK2 Turntable with gig case (1),electronics - by owner,newyork.craigslist.org/brk/ele/4237769578.html,2013/12/11,1
Dec 10,$20,Technics SL-1200 Pictch Slider New in Box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4219413403.html,2013/12/11,1
Dec  3,$1400,Technics SL-1200 M5G Turntables,electronics - by owner,newyork.craigslist.org/mnh/ele/4227509874.html,2013/12/11,1
Dec  5,$500,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4229726532.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4234047756.html,2013/12/11,1
Dec  8,$350,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html,2013/12/11,1
Dec  9,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4236005082.html,2013/12/11,1
Dec  9,$700,USED TECHNICS SL 1200 MK2 + Stanton Needle - $800,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html,2013/12/11,1
Dec 10,$400, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4238584572.html,2013/12/11,1
Dec 11,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,furniture - by owner,newyork.craigslist.org/mnh/fuo/4239381554.html,2013/12/11,1
Dec  7,$1200,Technic 1200's and DJ Equipment for sale- complete package,electronics - by owner,newyork.craigslist.org/brk/ele/4233069649.html,2013/12/11,1
Dec 11,$4250,Technics SL-1200 GOLD / Limited Collector Edition Turntables & Mixer ,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html,2013/12/11,1
Dec  8,$1450,"Technics SL-1200 MK2s w/ Mixer,Needles,&Midi Controller",electronics - by owner,newyork.craigslist.org/mnh/ele/4228895832.html,2013/12/11,1
Dec 10,$1000,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html,2013/12/11,1
Dec  8,$1050,2x Technics 1200 MK5 - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4229147114.html,2013/12/11,1
Dec  6,$425,Technics 1200 MK2 Turntable with Dust Cover (1),electronics - by owner,newyork.craigslist.org/mnh/ele/4231964746.html,2013/12/11,1
Dec  8,$499,TECHNICS 1200 MK3 $499 OBO,electronics - by owner,newyork.craigslist.org/brk/ele/4234194516.html,2013/12/11,1
Dec  9,$900,BEST DJ DEAL IN THE BRONX FOR TECHNICS 1200 TURNTABLES,electronics - by owner,newyork.craigslist.org/brx/ele/4235839722.html,2013/12/11,1
Dec  9,$700,Pair Technics 1200 MK2,electronics - by owner,newyork.craigslist.org/jsy/ele/4236695882.html,2013/12/11,1
Dec  9,$850,2x Technics 1200 MK2 - Used - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4236787129.html,2013/12/11,1
Dec 11,$450,Technics 1200 Excellent Condition (Negotiable),electronics - by owner,newyork.craigslist.org/que/ele/4239659115.html,2013/12/11,1
Dec 11,$425,"Technics 1200's, Good Condition (Neg)",electronics - by owner,newyork.craigslist.org/que/ele/4240107394.html,2013/12/11,1
Dec  9,$1500,Technics 1200 M3D Turntables,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4236244383.html,2013/12/11,1
Dec  8,$120,awesome Technics 1200 headphones - new out of box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4234312314.html,2013/12/11,1
Dec  9,$925,Pair Black Technics 1200 1210 Mk2 Turntables w/ Ortofon Needles & Case,electronics - by owner,newyork.craigslist.org/que/ele/4236400695.html,2013/12/11,1
Dec  7,$325,Technics SL-1200MK5 and Shure Shure M44-7 Cartridge & Needle,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4233670696.html,2013/12/11,1
Dec  8,$950,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html,2013/12/11,1
Dec  5,$1200,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html,2013/12/11,1
Dec  8,$950,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html,2013/12/11,1
Dec 10,$500,Technic 1200 MK2 Turntable with gig case (1),electronics - by owner,newyork.craigslist.org/brk/ele/4237769578.html,2013/12/11,1
Dec 10,$20,Technics SL-1200 Pictch Slider New in Box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4219413403.html,2013/12/11,1
Dec  3,$1400,Technics SL-1200 M5G Turntables,electronics - by owner,newyork.craigslist.org/mnh/ele/4227509874.html,2013/12/11,1
Dec  5,$500,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4229726532.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4234047756.html,2013/12/11,1
Dec  8,$350,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html,2013/12/11,1
Dec  9,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4236005082.html,2013/12/11,1
Dec  9,$700,USED TECHNICS SL 1200 MK2 + Stanton Needle - $800,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html,2013/12/11,1
Dec 10,$400, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4238584572.html,2013/12/11,1
Dec 11,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,furniture - by owner,newyork.craigslist.org/mnh/fuo/4239381554.html,2013/12/11,1
Dec  7,$1200,Technic 1200's and DJ Equipment for sale- complete package,electronics - by owner,newyork.craigslist.org/brk/ele/4233069649.html,2013/12/11,1
Dec 11,$4250,Technics SL-1200 GOLD / Limited Collector Edition Turntables & Mixer ,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html,2013/12/11,1
Dec  8,$1450,"Technics SL-1200 MK2s w/ Mixer,Needles,&Midi Controller",electronics - by owner,newyork.craigslist.org/mnh/ele/4228895832.html,2013/12/11,1
Dec 10,$1000,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html,2013/12/11,1
Dec  8,$1050,2x Technics 1200 MK5 - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4229147114.html,2013/12/11,1
Dec  6,$425,Technics 1200 MK2 Turntable with Dust Cover (1),electronics - by owner,newyork.craigslist.org/mnh/ele/4231964746.html,2013/12/11,1
Dec  8,$499,TECHNICS 1200 MK3 $499 OBO,electronics - by owner,newyork.craigslist.org/brk/ele/4234194516.html,2013/12/11,1
Dec  9,$900,BEST DJ DEAL IN THE BRONX FOR TECHNICS 1200 TURNTABLES,electronics - by owner,newyork.craigslist.org/brx/ele/4235839722.html,2013/12/11,1
Dec  9,$700,Pair Technics 1200 MK2,electronics - by owner,newyork.craigslist.org/jsy/ele/4236695882.html,2013/12/11,1
Dec  9,$850,2x Technics 1200 MK2 - Used - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4236787129.html,2013/12/11,1
Dec 11,$450,Technics 1200 Excellent Condition (Negotiable),electronics - by owner,newyork.craigslist.org/que/ele/4239659115.html,2013/12/11,1
Dec 11,$425,"Technics 1200's, Good Condition (Neg)",electronics - by owner,newyork.craigslist.org/que/ele/4240107394.html,2013/12/11,1
Dec  9,$1500,Technics 1200 M3D Turntables,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4236244383.html,2013/12/11,1
Dec  8,$120,awesome Technics 1200 headphones - new out of box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4234312314.html,2013/12/11,1
Dec  9,$925,Pair Black Technics 1200 1210 Mk2 Turntables w/ Ortofon Needles & Case,electronics - by owner,newyork.craigslist.org/que/ele/4236400695.html,2013/12/11,1
Dec  7,$325,Technics SL-1200MK5 and Shure Shure M44-7 Cartridge & Needle,musical instruments - by owner,newyork.craigslist.org/lgi/msg/4233670696.html,2013/12/11,1
Dec  8,$950,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html,2013/12/11,1
Dec  5,$1200,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html,2013/12/11,1
Dec  8,$950,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html,2013/12/11,1
Dec 10,$500,Technic 1200 MK2 Turntable with gig case (1),electronics - by owner,newyork.craigslist.org/brk/ele/4237769578.html,2013/12/11,1
Dec 10,$20,Technics SL-1200 Pictch Slider New in Box,musical instruments - by owner,newyork.craigslist.org/brk/msg/4219413403.html,2013/12/11,1
Dec  3,$1400,Technics SL-1200 M5G Turntables,electronics - by owner,newyork.craigslist.org/mnh/ele/4227509874.html,2013/12/11,1
Dec  5,$500,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4229726532.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4234047756.html,2013/12/11,1
Dec  8,$350,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html,2013/12/11,1
Dec  9,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,musical instruments - by owner,newyork.craigslist.org/mnh/msg/4236005082.html,2013/12/11,1
Dec  9,$700,USED TECHNICS SL 1200 MK2 + Stanton Needle - $800,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html,2013/12/11,1
Dec 10,$400, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html,2013/12/11,1
Dec 10,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,electronics - by owner,newyork.craigslist.org/mnh/ele/4238584572.html,2013/12/11,1
Dec 11,$450,TECHNICS SL 1200-MK2 IN A PERFECT CONDITION,furniture - by owner,newyork.craigslist.org/mnh/fuo/4239381554.html,2013/12/11,1
Dec  7,$1200,Technic 1200's and DJ Equipment for sale- complete package,electronics - by owner,newyork.craigslist.org/brk/ele/4233069649.html,2013/12/11,1
Dec 11,$4250,Technics SL-1200 GOLD / Limited Collector Edition Turntables & Mixer ,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html,2013/12/11,1
Dec  8,$1450,"Technics SL-1200 MK2s w/ Mixer,Needles,&Midi Controller",electronics - by owner,newyork.craigslist.org/mnh/ele/4228895832.html,2013/12/11,1
Dec 10,$1000,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html,2013/12/11,1
